,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
300,Bodden Town,40,KY,1566829939,74,19.28,-81.25,87.8,10.29
301,Kidal,92,ML,1566829941,44,18.44,1.41,90.42,9.4
302,Le Port,20,FR,1566829942,23,42.87,1.37,91.0,11.41
303,Nioro,99,GM,1566829943,68,13.79,-15.05,84.12,2.62
304,Yuli,100,CN,1566829945,94,24.82,106.77,72.06,2.1
305,Barbastro,20,ES,1566829885,32,42.04,0.13,90.0,11.41
306,Pozo Colorado,100,PY,1566829947,69,-23.49,-58.8,72.78,9.17
307,Miyazu,12,JP,1566829948,93,35.58,135.2,65.04,2.48
308,Ostrovnoy,100,RU,1566829949,92,68.05,39.51,44.34,14.97
309,Te Anau,31,NZ,1566829951,81,-45.41,167.72,37.14,5.79
310,Sterling,75,US,1566829952,77,39.0,-77.4,71.01,5.82
311,Camacha,40,PT,1566829953,53,33.08,-16.33,77.0,12.75
312,Businga,76,CD,1566829954,87,3.34,20.89,76.2,3.2
313,Banting,75,MY,1566829955,83,2.82,101.5,82.4,3.36
314,Caconda,0,AO,1566829957,8,-13.73,15.06,85.56,4.56
315,Balikpapan,53,ID,1566829958,97,-1.24,116.86,72.06,2.75
316,Padang,90,ID,1566829959,83,-0.92,100.36,81.24,18.16
317,Belyy Yar,0,RU,1566829961,82,53.6,91.39,60.8,4.47
318,Saravan,40,AM,1566829962,16,39.72,45.65,95.0,9.17
319,Sistranda,0,NO,1566829747,53,63.73,8.83,73.4,10.29
320,Phalombe,13,MW,1566829964,44,-15.81,35.65,77.1,6.51
321,Windhoek,0,NA,1566829966,5,-22.57,17.08,80.6,5.82
322,Solnechnyy,0,RU,1566829967,92,50.72,136.64,56.4,1.86
323,Neverkino,21,RU,1566829968,65,52.79,46.74,60.36,4.52
324,Sandur,0,IQ,1566829969,11,36.91,43.06,98.88,11.03
325,Kaputa,0,ZM,1566829970,22,-8.47,29.66,88.26,6.89
326,La Ronge,90,CA,1566829972,93,55.1,-105.3,55.4,4.7
327,Harper,1,US,1566829973,74,30.3,-99.24,80.6,10.29
328,Olathe,90,US,1566829689,100,38.88,-94.82,69.01,6.93
329,Cockburn Town,86,TC,1566829975,79,21.46,-71.14,83.4,16.98
330,Vilcun,90,CL,1566829976,100,-38.65,-72.23,50.0,6.93
331,Lorengau,100,PG,1566829978,86,-2.02,147.27,78.0,6.53
332,Amuntai,96,ID,1566829979,83,-2.42,115.25,77.28,3.4
333,Tura,91,RU,1566829944,81,64.27,100.22,52.98,6.55
334,Saint-Georges,0,CA,1566829936,55,46.12,-70.67,69.01,1.99
335,Mayo,90,CA,1566829983,81,63.59,-135.9,42.8,1.07
336,Sao Filipe,42,CV,1566829913,74,14.9,-24.5,80.16,9.13
337,Mikhaylovka,49,RU,1566829985,84,52.96,103.29,53.16,4.76
338,Hamilton,75,CA,1566829970,73,43.26,-79.87,73.99,9.17
339,Saint-Philippe,1,CA,1566829987,68,45.36,-73.48,70.0,3.36
340,Arani,40,IN,1566829989,66,13.33,80.08,89.6,11.41
341,Barcelos,70,BR,1566829990,48,-0.97,-62.93,90.96,3.24
342,Codrington,40,AU,1566829978,87,-28.95,153.24,61.0,4.7
343,Dickinson,90,US,1566829992,82,46.88,-102.79,57.2,18.34
344,Tha Muang,100,TH,1566829993,83,13.98,99.64,78.0,5.61
345,Tapes,100,BR,1566829995,71,-30.67,-51.4,63.78,4.03
346,Bergama,20,TR,1566829919,38,39.12,27.18,98.6,19.46
347,Santa Cecilia,0,CR,1566829997,65,9.85,-84.31,77.0,8.05
348,Cancun,40,MX,1566829801,74,21.17,-86.85,86.0,16.11
